,filename,country,wealthpooled,urban,label,nl_mean
1,image7716.npz,21,-1.0900524854660034,False,0,-0.0976840257644653
4,image603.npz,21,1.4540644884109497,True,1,11.082343101501465
5,image1199.npz,21,1.70844566822052,True,1,12.646743774414062
6,image2826.npz,21,1.701109528541565,True,1,5.055367469787598
7,image6082.npz,21,1.5477131605148315,True,1,12.907397270202637
8,image13809.npz,21,1.5924626588821411,True,1,13.152287483215332
9,image9062.npz,21,1.7062891721725464,True,1,13.142542839050291
11,image5804.npz,21,0.9911735653877258,True,0,6.250482082366943
12,image15372.npz,21,1.166226148605347,True,0,6.056130409240723
13,image3386.npz,21,-0.9555330276489258,False,0,-0.1738624721765518
14,image17374.npz,21,1.4724743366241455,True,1,6.625431060791016
17,image736.npz,21,1.474272608757019,True,1,5.65537166595459
18,image7339.npz,21,0.9874122738838196,True,0,3.2829627990722656
19,image10861.npz,21,0.1586989760398864,False,1,0.913757860660553
20,image19599.npz,21,-0.9436043500900269,False,0,0.3451044261455536
21,image19181.npz,21,-1.1492959260940552,False,0,-0.0360447242856025
22,image8839.npz,21,1.0329792499542236,True,0,1.9931355714797971
23,image4133.npz,21,1.302539944648743,True,1,1.979741096496582
24,image2678.npz,21,-0.9341357350349426,False,0,-0.1289850324392318
26,image16135.npz,21,-0.622969925403595,False,0,-0.1738624721765518
27,image539.npz,21,1.009210467338562,True,0,0.5583491325378418
28,image19657.npz,21,1.383258819580078,True,1,0.5267964005470276
30,image14108.npz,21,0.2115498185157776,False,1,-0.0116533506661653
31,image10749.npz,21,-1.1664820909500122,False,0,-0.1738624721765518
32,image12806.npz,21,-1.2581830024719238,False,0,-0.1738624721765518
33,image126.npz,21,-1.1195242404937744,False,0,-0.1738624721765518
34,image13568.npz,21,-1.192052125930786,False,0,-0.1738624721765518
35,image10686.npz,21,-0.8104405999183655,False,0,-0.1308957189321518
39,image19325.npz,21,-0.7377237677574158,False,0,-0.1738624721765518
40,image16361.npz,21,1.1365702152252195,True,0,2.4250805377960205
41,image9018.npz,21,1.8642486333847048,True,1,2.5262610912323
42,image9079.npz,21,1.7254157066345217,True,1,2.332590103149414
43,image16259.npz,21,1.3354415893554688,True,1,2.517092227935791
44,image17461.npz,21,1.5419613122940063,True,1,2.5661890506744385
45,image7776.npz,21,1.8166041374206543,True,1,2.529019832611084
46,image8824.npz,21,0.4090491831302643,False,1,-0.1738624721765518
47,image6353.npz,21,1.6719748973846436,True,1,2.462773561477661
48,image16335.npz,21,1.5782244205474854,True,1,2.3894708156585693
49,image13322.npz,21,2.110945224761963,True,1,1.2242608070373535
50,image14767.npz,21,0.8000375032424927,True,0,0.2274725437164306
51,image11513.npz,21,-1.0302139520645142,False,0,0.0390627048909664
52,image17910.npz,21,-0.8401835560798645,False,0,-0.1736888289451599
54,image13878.npz,21,-0.0734699144959449,False,1,0.4020571112632751
